Bike ID,Model,Color,Current Location,Renter Name,Renter Phone,Rented Date,Expected Return,Returned Date,Status,Notes
Yamaha Nmax 155 4097,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 4835,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 5557,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 9104,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 5635,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 5630,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 1742,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 8720,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 7482,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 6544,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 6545,Yamaha Nmax 155,,,,,,,,Available,
Yamaha Nmax 155 7303,Yamaha Nmax 155,,,,,,,,Available,
Honda XADV 750 (no plate yet),Honda XADV 750,,,,,,,,Available,
Honda ADV 350 (no plate yet),Honda ADV 350,,,,,,,,Available,
Honda ADV 160 6821,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 6822,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 2349,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 6338,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 6340,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 3523,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 28,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 0120,Honda ADV 160,,,,,,,,Available,
Honda ADV 160 0200,Honda ADV 160,,,,,,,,Available,
Honda Forza Blue 1214,Honda Forza,Blue,,,,,,,Available,
Honda Forza Red 4279,Honda Forza,Red,,,,,,,Available,Available
